City,Sentiment,Month,Count,Latitude,Longitude
berneck,NEGATIVE,may,2,47.4249019,9.6102137
bernex,NEGATIVE,august,13,46.1746834,6.0717252
bernex,NEGATIVE,july,5,46.1746834,6.0717252
bernex,NEGATIVE,october,3,46.1746834,6.0717252
bernex,NEGATIVE,september,6,46.1746834,6.0717252
beromünster,POSITIVE,august,5,47.2076373,8.1924386
beromünster,NEGATIVE,october,2,47.2076373,8.1924386
bettwiesen,NEGATIVE,august,1,47.4973239,9.0238237
bettwiesen,POSITIVE,september,1,47.4973239,9.0238237
bevaix,POSITIVE,august,16,46.9297213,6.8105995
bevaix,POSITIVE,july,5,46.9297213,6.8105995
bevaix,NEGATIVE,may,1,46.9297213,6.8105995
bevaix,POSITIVE,october,9,46.9297213,6.8105995
bevaix,POSITIVE,september,23,46.9297213,6.8105995
bex,POSITIVE,august,40,46.2515578,7.0124532
bex,POSITIVE,july,7,46.2515578,7.0124532
bex,POSITIVE,october,21,46.2515578,7.0124532
bex,POSITIVE,september,39,46.2515578,7.0124532
biasca,POSITIVE,august,1,46.3606274,8.9714023
biberist,POSITIVE,may,1,47.1810605,7.5626086
biberist,POSITIVE,september,7,47.1810605,7.5626086
biberstein,POSITIVE,august,8,47.4140107,8.081917
biberstein,POSITIVE,october,6,47.4140107,8.081917
biberstein,POSITIVE,september,5,47.4140107,8.081917
biglen,POSITIVE,october,1,46.93136,7.621186
binningen,POSITIVE,august,1,47.53656,7.570077
binningen,POSITIVE,july,2,47.53656,7.570077
binningen,NEGATIVE,october,4,47.53656,7.570077
bioggio,POSITIVE,august,21,46.0141052,8.907616699999998
bioggio,POSITIVE,october,18,46.0141052,8.907616699999998
bioggio,POSITIVE,september,31,46.0141052,8.907616699999998
biotope,POSITIVE,may,1,46.5330844,6.6443058020926
birmensdorf,POSITIVE,august,7,47.3538481,8.438215699999999
birmensdorf,NEGATIVE,october,3,47.3538481,8.438215699999999
birmensdorf,POSITIVE,september,44,47.3538481,8.438215699999999
bière,POSITIVE,august,8,46.5373773,6.3337235
bière,POSITIVE,october,20,46.5373773,6.3337235
bière,POSITIVE,september,16,46.5373773,6.3337235
blonay,POSITIVE,august,7,46.46503970000001,6.8951981
blonay,POSITIVE,july,3,46.46503970000001,6.8951981
blonay,POSITIVE,may,2,46.46503970000001,6.8951981
blonay,POSITIVE,october,13,46.46503970000001,6.8951981
blonay,POSITIVE,september,5,46.46503970000001,6.8951981
bolligen,NEGATIVE,august,6,46.9755611,7.4983298
bolligen,POSITIVE,october,12,46.9755611,7.4983298
bolligen,POSITIVE,september,8,46.9755611,7.4983298
