City,Sentiment,Month,Language,Count,Latitude,Longitude
Albinen,POSITIVE,august,en,6,46.34064420000001,7.6337277000000014
Albinen,POSITIVE,august,fr,1,46.34064420000001,7.6337277000000014
Albinen,POSITIVE,july,en,2,46.34064420000001,7.6337277000000014
Albinen,NEGATIVE,may,en,2,46.34064420000001,7.6337277000000014
Albinen,POSITIVE,october,en,3,46.34064420000001,7.6337277000000014
Albinen,POSITIVE,september,en,17,46.34064420000001,7.6337277000000014
Albisrieden,NEGATIVE,august,de,1,47.3748299,8.484557800000001
Albisrieden,POSITIVE,august,en,6,47.3748299,8.484557800000001
Albisrieden,POSITIVE,july,en,1,47.3748299,8.484557800000001
Albisrieden,NEGATIVE,october,en,2,47.3748299,8.484557800000001
Albisrieden,POSITIVE,september,en,6,47.3748299,8.484557800000001
Alikon,NEGATIVE,august,de,2,47.1989397,8.359232901420249
Alikon,NEGATIVE,october,de,2,47.1989397,8.359232901420249
Alikon,NEGATIVE,september,de,3,47.1989397,8.359232901420249
Allaman,POSITIVE,august,en,6,46.4707776,6.3961739999999985
Allaman,POSITIVE,august,fr,10,46.4707776,6.3961739999999985
Allaman,POSITIVE,july,fr,2,46.4707776,6.3961739999999985
Allaman,POSITIVE,october,fr,19,46.4707776,6.3961739999999985
Allaman,POSITIVE,september,en,3,46.4707776,6.3961739999999985
Allaman,POSITIVE,september,fr,10,46.4707776,6.3961739999999985
Allschwil,POSITIVE,august,de,70,47.5517277,7.5361588
Allschwil,POSITIVE,august,en,24,47.5517277,7.5361588
Allschwil,NEGATIVE,august,fr,5,47.5517277,7.5361588
Allschwil,POSITIVE,july,de,11,47.5517277,7.5361588
Allschwil,POSITIVE,july,en,15,47.5517277,7.5361588
Allschwil,POSITIVE,july,fr,1,47.5517277,7.5361588
Allschwil,POSITIVE,may,de,2,47.5517277,7.5361588
Allschwil,POSITIVE,may,en,1,47.5517277,7.5361588
Allschwil,POSITIVE,october,de,107,47.5517277,7.5361588
Allschwil,POSITIVE,october,en,22,47.5517277,7.5361588
Allschwil,POSITIVE,october,fr,2,47.5517277,7.5361588
Allschwil,POSITIVE,september,de,95,47.5517277,7.5361588
Allschwil,POSITIVE,september,en,30,47.5517277,7.5361588
Allschwil,NEGATIVE,september,fr,6,47.5517277,7.5361588
Alpinaweg,POSITIVE,august,de,1,46.9390587,8.9989132
Alpnach,NEGATIVE,august,de,3,46.9411661,8.273682899999999
Alpnach,NEGATIVE,august,en,9,46.9411661,8.273682899999999
Alpnach,NEGATIVE,july,de,1,46.9411661,8.273682899999999
Alpnach,NEGATIVE,june,de,1,46.9411661,8.273682899999999
Alpnach,POSITIVE,may,en,1,46.9411661,8.273682899999999
Alpnach,NEGATIVE,october,de,1,46.9411661,8.273682899999999
Alpnach,POSITIVE,october,en,14,46.9411661,8.273682899999999
Alpnach,POSITIVE,october,fr,1,46.9411661,8.273682899999999
Alpnach,NEGATIVE,september,de,4,46.9411661,8.273682899999999
Alpnach,POSITIVE,september,en,13,46.9411661,8.273682899999999
Alpthal,POSITIVE,august,de,6,47.0734939,8.7138911
Alpthal,POSITIVE,october,de,1,47.0734939,8.7138911
Alpthal,POSITIVE,september,de,1,47.0734939,8.7138911
Alpthal,POSITIVE,september,en,1,47.0734939,8.7138911
Amsoldingen,NEGATIVE,august,de,1,46.7280971,7.580775900000001
Amsoldingen,NEGATIVE,august,en,1,46.7280971,7.580775900000001
Amsoldingen,POSITIVE,october,de,4,46.7280971,7.580775900000001
Amsoldingen,NEGATIVE,september,de,2,46.7280971,7.580775900000001
Arisdorf,POSITIVE,august,de,13,47.5123813,7.765508199999998
Arisdorf,NEGATIVE,august,en,2,47.5123813,7.765508199999998
Arisdorf,POSITIVE,july,de,2,47.5123813,7.765508199999998
Arisdorf,NEGATIVE,may,de,1,47.5123813,7.765508199999998
Arisdorf,POSITIVE,october,de,30,47.5123813,7.765508199999998
Arisdorf,POSITIVE,october,en,2,47.5123813,7.765508199999998
Arisdorf,POSITIVE,october,fr,1,47.5123813,7.765508199999998
Arisdorf,POSITIVE,september,de,17,47.5123813,7.765508199999998
Arlesheim,POSITIVE,april,de,11,47.4931125,7.6202048
Arlesheim,POSITIVE,april,en,1,47.4931125,7.6202048
Arlesheim,POSITIVE,august,de,7,47.4931125,7.6202048
Arlesheim,NEGATIVE,august,en,3,47.4931125,7.6202048
Arlesheim,POSITIVE,august,fr,1,47.4931125,7.6202048
Arlesheim,NEGATIVE,february,de,5,47.4931125,7.6202048
Arlesheim,POSITIVE,january,de,8,47.4931125,7.6202048
Arlesheim,POSITIVE,july,de,3,47.4931125,7.6202048
Arlesheim,POSITIVE,july,en,3,47.4931125,7.6202048
Arlesheim,POSITIVE,june,de,9,47.4931125,7.6202048
Arlesheim,POSITIVE,june,en,3,47.4931125,7.6202048
Arlesheim,NEGATIVE,march,de,5,47.4931125,7.6202048
Arlesheim,POSITIVE,march,en,2,47.4931125,7.6202048
Arlesheim,POSITIVE,march,fr,1,47.4931125,7.6202048
Arlesheim,NEGATIVE,may,de,10,47.4931125,7.6202048
Arlesheim,NEGATIVE,may,en,3,47.4931125,7.6202048
Arlesheim,POSITIVE,october,de,6,47.4931125,7.6202048
Arlesheim,POSITIVE,october,en,2,47.4931125,7.6202048
Arlesheim,POSITIVE,september,de,13,47.4931125,7.6202048
Arlesheim,POSITIVE,september,en,2,47.4931125,7.6202048
Arolla,POSITIVE,august,de,15,46.025975,7.4810865999999985
Arolla,POSITIVE,august,en,1,46.025975,7.4810865999999985
Arolla,POSITIVE,july,de,1,46.025975,7.4810865999999985
Arolla,POSITIVE,october,de,20,46.025975,7.4810865999999985
Arolla,POSITIVE,october,fr,3,46.025975,7.4810865999999985
Arolla,POSITIVE,september,de,18,46.025975,7.4810865999999985
Arosa,POSITIVE,august,de,88,46.7797248,9.6781356
Arosa,POSITIVE,august,en,4,46.7797248,9.6781356
Arosa,POSITIVE,august,fr,2,46.7797248,9.6781356
Arosa,POSITIVE,july,de,10,46.7797248,9.6781356
Arosa,POSITIVE,july,fr,1,46.7797248,9.6781356
Arosa,POSITIVE,october,de,101,46.7797248,9.6781356
Arosa,NEGATIVE,october,en,1,46.7797248,9.6781356
Arosa,POSITIVE,september,de,85,46.7797248,9.6781356
Arosa,POSITIVE,september,en,4,46.7797248,9.6781356
Arosa,POSITIVE,september,fr,2,46.7797248,9.6781356
Arth,NEGATIVE,april,de,1,47.0644551,8.523867300000001
Arth,POSITIVE,april,en,1,47.0644551,8.523867300000001
Arth,POSITIVE,august,de,7,47.0644551,8.523867300000001
Arth,NEGATIVE,august,en,5,47.0644551,8.523867300000001
Arth,POSITIVE,february,de,1,47.0644551,8.523867300000001
Arth,POSITIVE,february,en,1,47.0644551,8.523867300000001
Arth,POSITIVE,july,en,5,47.0644551,8.523867300000001
Arth,NEGATIVE,july,fr,1,47.0644551,8.523867300000001
Arth,POSITIVE,june,en,2,47.0644551,8.523867300000001
Arth,POSITIVE,march,de,1,47.0644551,8.523867300000001
Arth,NEGATIVE,march,en,1,47.0644551,8.523867300000001
Arth,POSITIVE,may,de,4,47.0644551,8.523867300000001
Arth,POSITIVE,may,en,2,47.0644551,8.523867300000001
Arth,NEGATIVE,october,de,4,47.0644551,8.523867300000001
Arth,POSITIVE,october,en,3,47.0644551,8.523867300000001
Arth,NEGATIVE,september,de,1,47.0644551,8.523867300000001
Arth,NEGATIVE,september,en,4,47.0644551,8.523867300000001
Arveyes,POSITIVE,august,en,20,46.2912531,7.0626855
Arveyes,NEGATIVE,august,fr,2,46.2912531,7.0626855
Arveyes,POSITIVE,july,en,4,46.2912531,7.0626855
Arveyes,POSITIVE,may,en,3,46.2912531,7.0626855
Arveyes,POSITIVE,october,en,17,46.2912531,7.0626855
Arveyes,POSITIVE,september,en,16,46.2912531,7.0626855
Arzier,POSITIVE,august,en,14,46.4599808,6.208069
Arzier,POSITIVE,july,en,17,46.4599808,6.208069
Arzier,POSITIVE,october,en,2,46.4599808,6.208069
Arzier,NEGATIVE,october,fr,1,46.4599808,6.208069
Arzier,POSITIVE,september,en,9,46.4599808,6.208069
Ascona,POSITIVE,august,de,5,46.1554222,8.7707865
